store_id,store_name,brand_id,city,region,channel,subsidiary_company,opening_year,closing_year,status,renovation_months
STR-0025,Pizza Palazzo - Padang,BRND-005,Padang,West Sumatra,Offline,Gourmetia,2007,,active,[]
STR-0026,Pizza Palazzo - Serang,BRND-005,Serang,Banten,Offline,Gourmetia,2007,,active,[]
STR-0027,Pizza Palazzo - Tanjung Selor,BRND-005,Tanjung Selor,North Kalimantan,Offline,Gourmetia,2018,,active,[]
STR-0028,Pizza Palazzo - Padang,BRND-005,Padang,West Sumatra,Offline,Gourmetia,2000,,active,"[1, 2]"
STR-0029,Chocadia - Semarang,BRND-006,Semarang,Central Java,Offline,Gourmetia,2009,,active,[]
STR-0030,Pauline’s Bakery - Denpasar,BRND-007,Denpasar,Bali,Offline,Gourmetia,2009,,active,[]
STR-0031,Pauline’s Bakery - Bogor,BRND-007,Bogor,West Java,Offline,Gourmetia,2025,,active,[]
STR-0032,Pauline’s Bakery - Kendari,BRND-007,Kendari,Southeast Sulawesi,Offline,Gourmetia,2016,,active,[]
STR-0033,Pauline’s Bakery - Mataram,BRND-007,Mataram,West Nusa Tenggara,Offline,Gourmetia,2000,,active,[12]
STR-0034,Pauline’s Bakery - Yogyakarta,BRND-007,Yogyakarta,Special Region of Yogyakarta,Offline,Gourmetia,2014,,active,[]
STR-0035,Pauline’s Bakery - Tanjung Pinang,BRND-007,Tanjung Pinang,Riau Islands,Offline,Gourmetia,2014,,active,[8]
STR-0036,Pauline’s Bakery - Medan,BRND-007,Medan,North Sumatra,Offline,Gourmetia,2013,,active,[]
STR-0037,Pauline’s Bakery - Manado,BRND-007,Manado,North Sulawesi,Offline,Gourmetia,2025,,active,[]
STR-0038,Sushiba - Tangerang,BRND-008,Tangerang,Banten,Offline,Gourmetia,2006,2009.0,closed,[]
STR-0039,Sushiba - Bandar Lampung,BRND-008,Bandar Lampung,Lampung,Offline,Gourmetia,2019,,active,[]
STR-0040,Sushiba - Padang,BRND-008,Padang,West Sumatra,Offline,Gourmetia,2021,,active,[]
STR-0041,Sushiba - Manado,BRND-008,Manado,North Sulawesi,Offline,Gourmetia,2000,,active,[5]
STR-0042,Sushiba - Bekasi,BRND-008,Bekasi,West Java,Offline,Gourmetia,2018,,active,[]
STR-0043,Sushiba - Surakarta,BRND-008,Surakarta,Central Java,Offline,Gourmetia,2022,,active,[]
STR-0044,Krispy Delights - Serang,BRND-009,Serang,Banten,Offline,Gourmetia,2017,2025.0,active,[]
STR-0045,Krispy Delights - Semarang,BRND-009,Semarang,Central Java,Offline,Gourmetia,2009,,active,"[10, 11, 12]"
STR-0046,Krispy Delights - Palembang,BRND-009,Palembang,South Sumatra,Offline,Gourmetia,2021,2028.0,active,[]
STR-0047,Krispy Delights - Yogyakarta,BRND-009,Yogyakarta,Special Region of Yogyakarta,Offline,Gourmetia,2023,,active,[]
STR-0048,Krispy Delights - Bandung,BRND-009,Bandung,West Java,Offline,Gourmetia,2008,,active,[]
STR-0049,Krispy Delights - Balikpapan,BRND-009,Balikpapan,East Kalimantan,Offline,Gourmetia,2017,,active,[]
STR-0050,Krispy Delights - Medan,BRND-009,Medan,North Sumatra,Offline,Gourmetia,2011,,active,[]
STR-0051,Krispy Delights - Sidoarjo,BRND-009,Sidoarjo,East Java,Offline,Gourmetia,2016,,active,[1]
STR-0052,Poppy’s Chicken - Malang,BRND-010,Malang,East Java,Offline,Gourmetia,2015,2021.0,closed,[]
STR-0053,Poppy’s Chicken - Jambi City,BRND-010,Jambi City,Jambi,Offline,Gourmetia,2008,,active,[]
STR-0054,Poppy’s Chicken - Manado,BRND-010,Manado,North Sulawesi,Offline,Gourmetia,2010,,active,[]
STR-0055,Poppy’s Chicken - Bandar Lampung,BRND-010,Bandar Lampung,Lampung,Offline,Gourmetia,2023,,active,[]
STR-0056,Poppy’s Chicken - Bogor,BRND-010,Bogor,West Java,Offline,Gourmetia,2008,,active,[]
STR-0057,Subbite - Jambi City,BRND-011,Jambi City,Jambi,Offline,Gourmetia,2021,,active,[]
STR-0058,Subbite - Denpasar,BRND-011,Denpasar,Bali,Offline,Gourmetia,2019,,active,[]
STR-0059,Subbite - Padang,BRND-011,Padang,West Sumatra,Offline,Gourmetia,2005,,active,[]
STR-0060,Subbite - Surabaya,BRND-011,Surabaya,East Java,Offline,Gourmetia,2017,,active,"[9, 10, 11]"
STR-0061,Subbite - Serang,BRND-011,Serang,Banten,Offline,Gourmetia,2005,,active,[]
STR-0062,Subbite - Serang,BRND-011,Serang,Banten,Offline,Gourmetia,2020,,active,[]
STR-0063,Subbite - Pangkal Pinang,BRND-011,Pangkal Pinang,Bangka Belitung Islands,Offline,Gourmetia,2000,,active,[]
STR-0064,Subbite - Surakarta,BRND-011,Surakarta,Central Java,Offline,Gourmetia,2004,,active,[]
STR-0065,Galleria Luxe - Depok,BRND-012,Depok,West Java,Offline,UrbanMart,2000,,active,[]
STR-0066,Galleria Luxe - Depok,BRND-012,Depok,West Java,Offline,UrbanMart,2010,,active,[]
STR-0067,Galleria Luxe - Pangkal Pinang,BRND-012,Pangkal Pinang,Bangka Belitung Islands,Offline,UrbanMart,2000,,active,[]
STR-0068,Galleria Luxe - Manokwari,BRND-012,Manokwari,West Papua,Offline,UrbanMart,2000,,active,[]
STR-0069,Galleria Luxe - Bekasi,BRND-012,Bekasi,West Java,Offline,UrbanMart,2018,2024.0,closed,[]
STR-0070,Galleria Luxe - Palangkaraya,BRND-012,Palangkaraya,Central Kalimantan,Offline,UrbanMart,2015,,active,[]
STR-0071,Galleria Luxe - Bekasi,BRND-012,Bekasi,West Java,Offline,UrbanMart,2011,2019.0,closed,[]
STR-0072,Seiluxe - Bogor,BRND-013,Bogor,West Java,Offline,UrbanMart,2015,,active,[]
STR-0073,Seiluxe - Sidoarjo,BRND-013,Sidoarjo,East Java,Offline,UrbanMart,2009,,active,[1]
STR-0074,Seiluxe - Bandung,BRND-013,Bandung,West Java,Offline,UrbanMart,2022,2029.0,active,[]
STR-0075,Seiluxe - Banda Aceh,BRND-013,Banda Aceh,Aceh,Offline,UrbanMart,2003,,active,[]
STR-0076,Seiluxe - Yogyakarta,BRND-013,Yogyakarta,Special Region of Yogyakarta,Offline,UrbanMart,2004,,active,[]
STR-0077,Sogawa - Bandung,BRND-014,Bandung,West Java,Offline,UrbanMart,2016,,active,[]
STR-0078,Sogawa - Manokwari,BRND-014,Manokwari,West Papua,Offline,UrbanMart,2014,,active,[]
STR-0079,Sogawa - Bandung,BRND-014,Bandung,West Java,Offline,UrbanMart,2022,,active,[]
STR-0080,Sogawa - Surabaya,BRND-014,Surabaya,East Java,Offline,UrbanMart,2015,2022.0,closed,[]
STR-0081,Sogawa - Surakarta,BRND-014,Surakarta,Central Java,Offline,UrbanMart,2022,,active,[]
STR-0082,Sogawa - Mamuju,BRND-014,Mamuju,West Sulawesi,Offline,UrbanMart,2000,,active,[]
STR-0083,Sogawa - Bogor,BRND-014,Bogor,West Java,Offline,UrbanMart,2013,,active,[]
STR-0084,Sogawa - Bandar Lampung,BRND-014,Bandar Lampung,Lampung,Offline,UrbanMart,2025,,active,[]
STR-0085,FoodDome - Kendari,BRND-015,Kendari,Southeast Sulawesi,Offline,UrbanMart,2004,,active,[]
STR-0086,FreshBasket - Bekasi,BRND-016,Bekasi,West Java,Offline,UrbanMart,2006,,active,[]
STR-0087,FreshBasket - Serang,BRND-016,Serang,Banten,Offline,UrbanMart,2007,,active,[]
STR-0088,FreshBasket - Medan,BRND-016,Medan,North Sumatra,Offline,UrbanMart,2012,,active,"[4, 5, 6]"
STR-0089,FreshBasket - Sidoarjo,BRND-016,Sidoarjo,East Java,Offline,UrbanMart,2011,,active,"[8, 9, 10]"
STR-0090,FreshBasket - Bandung,BRND-016,Bandung,West Java,Offline,UrbanMart,2006,,active,"[2, 3]"
STR-0091,FreshBasket - Bandung,BRND-016,Bandung,West Java,Offline,UrbanMart,2011,,active,[]
STR-0092,FreshBasket - Sidoarjo,BRND-016,Sidoarjo,East Java,Offline,UrbanMart,2011,2019.0,closed,[]
STR-0093,FreshBasket - Tangerang,BRND-016,Tangerang,Banten,Offline,UrbanMart,2013,,active,[]
STR-0094,FreshBasket - Pekanbaru,BRND-016,Pekanbaru,Riau,Offline,UrbanMart,2006,,active,[]
STR-0095,FreshBasket - Serang,BRND-016,Serang,Banten,Offline,UrbanMart,2024,,active,[]
STR-0096,Accentz - Nabire,BRND-017,Nabire,Central Papua,Offline,StyleCraft,2022,,active,[]
STR-0097,Accentz - Bengkulu City,BRND-017,Bengkulu City,Bengkulu,Offline,StyleCraft,2014,,active,[]
STR-0098,Accentz - Bandar Lampung,BRND-017,Bandar Lampung,Lampung,Offline,StyleCraft,2018,,active,[]
STR-0099,Accentz - Bandung,BRND-017,Bandung,West Java,Offline,StyleCraft,2015,,active,[]
STR-0100,Accentz - Pontianak,BRND-017,Pontianak,West Kalimantan,Offline,StyleCraft,2003,,active,[]
STR-0101,Accentz - Balikpapan,BRND-017,Balikpapan,East Kalimantan,Offline,StyleCraft,2016,,active,[]
STR-0102,Accentz - Palu,BRND-017,Palu,Central Sulawesi,Offline,StyleCraft,2006,,active,[]
STR-0103,Accentz - Cirebon,BRND-017,Cirebon,West Java,Offline,StyleCraft,2016,,active,[6]
STR-0104,Accentz - Mamuju,BRND-017,Mamuju,West Sulawesi,Offline,StyleCraft,2018,,active,[]
STR-0105,Beetle Bug - Tanjung Pinang,BRND-018,Tanjung Pinang,Riau Islands,Offline,StyleCraft,2022,,active,[]
STR-0106,Beetle Bug - Surakarta,BRND-018,Surakarta,Central Java,Offline,StyleCraft,2006,,active,[3]
STR-0107,BCBG Flow - Tangerang,BRND-019,Tangerang,Banten,Offline,StyleCraft,2009,,active,[]
STR-0108,BCBG Flow - Jakarta,BRND-019,Jakarta,DKI Jakarta,Offline,StyleCraft,2018,,active,[]
STR-0109,BCBG Flow - Tangerang,BRND-019,Tangerang,Banten,Offline,StyleCraft,2010,,active,[]
STR-0110,BCBG Flow - Bandar Lampung,BRND-019,Bandar Lampung,Lampung,Offline,StyleCraft,2025,,active,[]
STR-0111,BCBG Flow - Ambon,BRND-019,Ambon,Maluku,Offline,StyleCraft,2015,,active,[]
STR-0112,BCBG Flow - Surabaya,BRND-019,Surabaya,East Java,Offline,StyleCraft,2025,,active,[]
STR-0113,BCBG Flow - Bandar Lampung,BRND-019,Bandar Lampung,Lampung,Offline,StyleCraft,2011,,active,[]
STR-0114,BCBG Flow - Bengkulu City,BRND-019,Bengkulu City,Bengkulu,Offline,StyleCraft,2021,,active,[]
STR-0115,BCBG Flow - Palangkaraya,BRND-019,Palangkaraya,Central Kalimantan,Offline,StyleCraft,2010,,active,[]
STR-0116,Bershaka - Depok,BRND-020,Depok,West Java,Offline,StyleCraft,2018,,active,[]
STR-0117,Bershaka - Denpasar,BRND-020,Denpasar,Bali,Offline,StyleCraft,2001,,active,[]
STR-0118,Bershaka - Medan,BRND-020,Medan,North Sumatra,Offline,StyleCraft,2012,2020.0,closed,[]
STR-0119,Bershaka - Balikpapan,BRND-020,Balikpapan,East Kalimantan,Offline,StyleCraft,2010,,active,[]
STR-0120,Bershaka - Bengkulu City,BRND-020,Bengkulu City,Bengkulu,Offline,StyleCraft,2025,2031.0,active,[]
STR-0121,Brooks & Bros - Banda Aceh,BRND-021,Banda Aceh,Aceh,Offline,StyleCraft,2010,,active,[]
STR-0122,Brooks & Bros - Banjarmasin,BRND-021,Banjarmasin,South Kalimantan,Offline,StyleCraft,2022,2027.0,active,[]
STR-0123,Brooks & Bros - Padang,BRND-021,Padang,West Sumatra,Offline,StyleCraft,2001,,active,[]
STR-0124,Brooks & Bros - Pekanbaru,BRND-021,Pekanbaru,Riau,Offline,StyleCraft,2008,,active,"[1, 2, 3]"
STR-0125,Brooks & Bros - Tangerang,BRND-021,Tangerang,Banten,Offline,StyleCraft,2012,2017.0,closed,[]
STR-0126,Burton & Co. - Depok,BRND-022,Depok,West Java,Offline,StyleCraft,2007,,active,[]
STR-0127,Burton & Co. - Tangerang,BRND-022,Tangerang,Banten,Offline,StyleCraft,2024,,active,[]
STR-0128,Burton & Co. - Bogor,BRND-022,Bogor,West Java,Offline,StyleCraft,2006,,active,"[1, 2]"
STR-0129,Burton & Co. - Serang,BRND-022,Serang,Banten,Offline,StyleCraft,2024,,active,[]
STR-0130,Burton & Co. - Semarang,BRND-022,Semarang,Central Java,Offline,StyleCraft,2010,,active,[]
STR-0131,Burton & Co. - Malang,BRND-022,Malang,East Java,Offline,StyleCraft,2002,,active,[]
STR-0132,Camellia Wear - Depok,BRND-023,Depok,West Java,Offline,StyleCraft,2013,,active,[]
STR-0133,Camellia Wear - Depok,BRND-023,Depok,West Java,Offline,StyleCraft,2004,,active,[]
STR-0134,Camellia Wear - Banjarmasin,BRND-023,Banjarmasin,South Kalimantan,Offline,StyleCraft,2000,2005.0,closed,[]
STR-0135,Camellia Wear - Serang,BRND-023,Serang,Banten,Offline,StyleCraft,2024,,active,[]
STR-0136,Camellia Wear - Mamuju,BRND-023,Mamuju,West Sulawesi,Offline,StyleCraft,2000,2003.0,closed,[]
STR-0137,Camellia Wear - Bandung,BRND-023,Bandung,West Java,Offline,StyleCraft,2007,,active,[]
STR-0138,Camellia Wear - Tangerang,BRND-023,Tangerang,Banten,Offline,StyleCraft,2003,,active,[]
STR-0139,Camellia Wear - Tanjung Pinang,BRND-023,Tanjung Pinang,Riau Islands,Offline,StyleCraft,2013,,active,[]
STR-0140,Trailster - Cirebon,BRND-024,Cirebon,West Java,Offline,StyleCraft,2002,,active,[]
STR-0141,Trailster - Bekasi,BRND-024,Bekasi,West Java,Offline,StyleCraft,2018,,active,[]
STR-0142,Trailster - Medan,BRND-024,Medan,North Sumatra,Offline,StyleCraft,2019,,active,"[7, 8, 9]"
STR-0143,Cathley - Surakarta,BRND-025,Surakarta,Central Java,Offline,StyleCraft,2013,,active,[]
STR-0144,Cathley - Bogor,BRND-025,Bogor,West Java,Offline,StyleCraft,2007,,active,[]
STR-0145,Cathley - Pangkal Pinang,BRND-025,Pangkal Pinang,Bangka Belitung Islands,Offline,StyleCraft,2017,,active,[]
STR-0146,Cathley - Balikpapan,BRND-025,Balikpapan,East Kalimantan,Offline,StyleCraft,2001,,active,[]
STR-0147,Club Culture - Bekasi,BRND-026,Bekasi,West Java,Offline,StyleCraft,2016,,active,"[8, 9]"
STR-0148,Club Culture - Mataram,BRND-026,Mataram,West Nusa Tenggara,Offline,StyleCraft,2016,,active,[]
STR-0149,CottonUp - Sidoarjo,BRND-027,Sidoarjo,East Java,Offline,StyleCraft,2002,,active,[]
STR-0150,CottonUp - Bandung,BRND-027,Bandung,West Java,Offline,StyleCraft,2005,,active,[]
STR-0151,CottonUp - Gorontalo City,BRND-027,Gorontalo City,Gorontalo,Offline,StyleCraft,2019,,active,[]
STR-0152,CottonUp - Makassar,BRND-027,Makassar,South Sulawesi,Offline,StyleCraft,2009,,active,[]
STR-0153,CottonUp - Yogyakarta,BRND-027,Yogyakarta,Special Region of Yogyakarta,Offline,StyleCraft,2022,,active,[]
STR-0154,Funkwear - Surakarta,BRND-028,Surakarta,Central Java,Offline,StyleCraft,2015,,active,[]
STR-0155,Funkwear - Pontianak,BRND-028,Pontianak,West Kalimantan,Offline,StyleCraft,2020,2028.0,active,[]
STR-0156,Funkwear - Tanjung Selor,BRND-028,Tanjung Selor,North Kalimantan,Offline,StyleCraft,2023,,active,[]
STR-0157,Funkwear - Tangerang,BRND-028,Tangerang,Banten,Offline,StyleCraft,2001,2008.0,closed,[1]
STR-0158,Funkwear - Bandar Lampung,BRND-028,Bandar Lampung,Lampung,Offline,StyleCraft,2003,,active,[]
STR-0159,DKNYX - Semarang,BRND-029,Semarang,Central Java,Offline,StyleCraft,2018,,active,[]
STR-0160,DKNYX - Tangerang,BRND-029,Tangerang,Banten,Offline,StyleCraft,2011,,active,[]
STR-0161,DKNYX - Semarang,BRND-029,Semarang,Central Java,Offline,StyleCraft,2000,,active,[]
STR-0162,DKNYX - Gorontalo City,BRND-029,Gorontalo City,Gorontalo,Offline,StyleCraft,2006,,active,[]
STR-0163,DKNYX - Bogor,BRND-029,Bogor,West Java,Offline,StyleCraft,2009,,active,[]
STR-0164,Dorothy P. - Bogor,BRND-030,Bogor,West Java,Offline,StyleCraft,2002,,active,[]
STR-0165,Dorothy P. - Depok,BRND-030,Depok,West Java,Offline,StyleCraft,2005,,active,[]
STR-0166,Dorothy P. - Serang,BRND-030,Serang,Banten,Offline,StyleCraft,2017,,active,"[7, 8]"
STR-0167,Dorothy P. - Depok,BRND-030,Depok,West Java,Offline,StyleCraft,2005,,active,[]
STR-0168,Dorothy P. - Semarang,BRND-030,Semarang,Central Java,Offline,StyleCraft,2014,,active,[]
STR-0169,Dorothy P. - Bengkulu City,BRND-030,Bengkulu City,Bengkulu,Offline,StyleCraft,2010,,active,[]
STR-0170,Dorothy P. - Manado,BRND-030,Manado,North Sulawesi,Offline,StyleCraft,2022,,active,[]
STR-0171,Dorothy P. - Jakarta,BRND-030,Jakarta,DKI Jakarta,Offline,StyleCraft,2005,,active,[]
STR-0172,Dorothy P. - Palembang,BRND-030,Palembang,South Sumatra,Offline,StyleCraft,2021,,active,[2]
STR-0173,Dorothy P. - Kendari,BRND-030,Kendari,Southeast Sulawesi,Offline,StyleCraft,2018,,active,[]
STR-0174,Doc Marto - Palembang,BRND-031,Palembang,South Sumatra,Offline,StyleCraft,2023,,active,[]
STR-0175,Doc Marto - Tangerang,BRND-031,Tangerang,Banten,Offline,StyleCraft,2023,2028.0,active,[]
STR-0176,FCUQ - Bekasi,BRND-032,Bekasi,West Java,Offline,StyleCraft,2007,,active,[]
STR-0177,FCUQ - Surakarta,BRND-032,Surakarta,Central Java,Offline,StyleCraft,2001,,active,[]
STR-0178,FCUQ - Tanjung Pinang,BRND-032,Tanjung Pinang,Riau Islands,Offline,StyleCraft,2018,,active,[4]
STR-0179,FCUQ - Surakarta,BRND-032,Surakarta,Central Java,Offline,StyleCraft,2006,2014.0,closed,"[9, 10, 11]"
STR-0180,FCUQ - Jakarta,BRND-032,Jakarta,DKI Jakarta,Offline,StyleCraft,2017,,active,[]
STR-0181,FCUQ - Sorong,BRND-032,Sorong,Southwest Papua,Offline,StyleCraft,2009,,active,[]
STR-0182,Forever Nu - Bengkulu City,BRND-033,Bengkulu City,Bengkulu,Offline,StyleCraft,2002,,active,"[10, 11, 12]"
STR-0183,Forever Nu - Bandar Lampung,BRND-033,Bandar Lampung,Lampung,Offline,StyleCraft,2007,,active,"[5, 6]"
STR-0184,Forever Nu - Depok,BRND-033,Depok,West Java,Offline,StyleCraft,2001,,active,[]
STR-0185,Forever Nu - Bogor,BRND-033,Bogor,West Java,Offline,StyleCraft,2022,,active,[]
STR-0186,Forever Nu - Merauke,BRND-033,Merauke,South Papua,Offline,StyleCraft,2014,,active,[]
STR-0187,Forever Nu - Bekasi,BRND-033,Bekasi,West Java,Offline,StyleCraft,2021,,active,[]
STR-0188,Forever Nu - Merauke,BRND-033,Merauke,South Papua,Offline,StyleCraft,2014,,active,[]
STR-0189,Forever Nu - Tangerang,BRND-033,Tangerang,Banten,Offline,StyleCraft,2021,,active,[]
STR-0190,Forever Nu - Malang,BRND-033,Malang,East Java,Offline,StyleCraft,2016,,active,[]
STR-0191,Hossina - Surakarta,BRND-034,Surakarta,Central Java,Offline,StyleCraft,2010,,active,[]
STR-0192,Hossina - Sidoarjo,BRND-034,Sidoarjo,East Java,Offline,StyleCraft,2025,,active,[]
STR-0193,Hossina - Serang,BRND-034,Serang,Banten,Offline,StyleCraft,2014,,active,[]
STR-0194,Hossina - Mataram,BRND-034,Mataram,West Nusa Tenggara,Offline,StyleCraft,2019,,active,[]
STR-0195,Kippo Bags - Tanjung Pinang,BRND-035,Tanjung Pinang,Riau Islands,Offline,StyleCraft,2021,2029.0,active,[]
STR-0196,Linora - Bogor,BRND-036,Bogor,West Java,Offline,StyleCraft,2024,,active,[]
STR-0197,Luvéa - Surabaya,BRND-037,Surabaya,East Java,Offline,StyleCraft,2001,,active,[]
STR-0198,Luvéa - Jakarta,BRND-037,Jakarta,DKI Jakarta,Offline,StyleCraft,2001,,active,[]
STR-0199,Luvéa - Bandar Lampung,BRND-037,Bandar Lampung,Lampung,Offline,StyleCraft,2001,,active,[]
STR-0200,Luvéa - Bogor,BRND-037,Bogor,West Java,Offline,StyleCraft,2007,,active,[]
STR-0201,Luvéa - Pangkal Pinang,BRND-037,Pangkal Pinang,Bangka Belitung Islands,Offline,StyleCraft,2011,2015.0,closed,[]
STR-0202,Lacoria - Bandung,BRND-038,Bandung,West Java,Offline,StyleCraft,2008,,active,[]
STR-0203,Mangoa - Samarinda,BRND-039,Samarinda,East Kalimantan,Offline,StyleCraft,2017,,active,[]
STR-0204,Mangoa - Pekanbaru,BRND-039,Pekanbaru,Riau,Offline,StyleCraft,2019,,active,[]
STR-0205,Mangoa - Sidoarjo,BRND-039,Sidoarjo,East Java,Offline,StyleCraft,2007,,active,"[3, 4]"
STR-0206,Mangoa - Serang,BRND-039,Serang,Banten,Offline,StyleCraft,2022,,active,[]
STR-0207,Mangoa - Malang,BRND-039,Malang,East Java,Offline,StyleCraft,2013,,active,[]
STR-0208,Mangoa - Cirebon,BRND-039,Cirebon,West Java,Offline,StyleCraft,2013,,active,[]
STR-0209,Mangoa - Bogor,BRND-039,Bogor,West Java,Offline,StyleCraft,2014,,active,[]
STR-0210,Mangoa - Manado,BRND-039,Manado,North Sulawesi,Offline,StyleCraft,2001,,active,[]
STR-0211,Mangoa - Denpasar,BRND-039,Denpasar,Bali,Offline,StyleCraft,2023,,active,[]
STR-0212,Mangoa - Tangerang,BRND-039,Tangerang,Banten,Offline,StyleCraft,2007,,active,[]
STR-0213,Mark & Spencerly - Jambi City,BRND-040,Jambi City,Jambi,Offline,StyleCraft,2011,,active,[]
STR-0214,Mark & Spencerly - Gorontalo City,BRND-040,Gorontalo City,Gorontalo,Offline,StyleCraft,2001,,active,[]
STR-0215,Massimo Dotti - Depok,BRND-041,Depok,West Java,Offline,StyleCraft,2016,,active,[]
STR-0216,Massimo Dotti - Surakarta,BRND-041,Surakarta,Central Java,Offline,StyleCraft,2012,,active,[]
STR-0217,Maxelle - Semarang,BRND-042,Semarang,Central Java,Offline,StyleCraft,2025,,active,[]
STR-0218,Maxelle - Ambon,BRND-042,Ambon,Maluku,Offline,StyleCraft,2016,,active,[]
STR-0219,Maxelle - Bengkulu City,BRND-042,Bengkulu City,Bengkulu,Offline,StyleCraft,2013,,active,[]
STR-0220,Maxelle - Cirebon,BRND-042,Cirebon,West Java,Offline,StyleCraft,2013,,active,[]
STR-0221,Maxmora - Semarang,BRND-043,Semarang,Central Java,Offline,StyleCraft,2020,,active,[]
STR-0222,Maxmora - Mamuju,BRND-043,Mamuju,West Sulawesi,Offline,StyleCraft,2023,,active,[]
STR-0223,Maxmora - Palembang,BRND-043,Palembang,South Sumatra,Offline,StyleCraft,2004,,active,[]
STR-0224,Mee Too - Mataram,BRND-044,Mataram,West Nusa Tenggara,Offline,StyleCraft,2013,,active,[]
STR-0225,Mee Too - Depok,BRND-044,Depok,West Java,Offline,StyleCraft,2001,,active,[]
STR-0226,Missy S. - Tanjung Pinang,BRND-045,Tanjung Pinang,Riau Islands,Offline,StyleCraft,2000,,active,[]
STR-0227,Missy S. - Tangerang,BRND-045,Tangerang,Banten,Offline,StyleCraft,2018,,active,[]
STR-0228,Missy S. - Jambi City,BRND-045,Jambi City,Jambi,Offline,StyleCraft,2006,,active,"[4, 5]"
STR-0229,Missy S. - Sidoarjo,BRND-045,Sidoarjo,East Java,Offline,StyleCraft,2008,,active,"[11, 12]"
STR-0230,Missy S. - Samarinda,BRND-045,Samarinda,East Kalimantan,Offline,StyleCraft,2002,2007.0,closed,[]
STR-0231,Missy S. - Sidoarjo,BRND-045,Sidoarjo,East Java,Offline,StyleCraft,2012,2016.0,closed,[]
STR-0232,Missy S. - Depok,BRND-045,Depok,West Java,Offline,StyleCraft,2007,,active,[]
STR-0233,Oceanica - Sorong,BRND-046,Sorong,Southwest Papua,Offline,StyleCraft,2022,,active,[]
STR-0234,Oceanica - Serang,BRND-046,Serang,Banten,Offline,StyleCraft,2000,,active,[]
STR-0235,Oceanica - Surabaya,BRND-046,Surabaya,East Java,Offline,StyleCraft,2014,,active,[]
STR-0236,NineWeston - Tangerang,BRND-047,Tangerang,Banten,Offline,StyleCraft,2020,,active,[]
STR-0237,NineWeston - Balikpapan,BRND-047,Balikpapan,East Kalimantan,Offline,StyleCraft,2016,,active,[]
STR-0238,NineWeston - Semarang,BRND-047,Semarang,Central Java,Offline,StyleCraft,2017,,active,[]
STR-0239,NineWeston - Serang,BRND-047,Serang,Banten,Offline,StyleCraft,2017,,active,[]
